Date,PFGOAAU LX Equity,SGVIEOP HK Equity,WEDINBU KY Equity,CCASORI MK Equity,CCASORI MK Equity,CCASLTF MK Equity,PFGLAAU LX Equity,PFARAAU LX Equity,PSGGFXU MV Equity,FBPBX US Equity,BLUESPH BM Equity,PGPGIFA ID Equity,CORGFRZ KY Equity,ORBGBIN LX Equity,AIBALMA AB Equity,FORTGOW KY Equity,GMFDEBI LE Equity,CRLCBUU LX Equity,PPLUCNH ID Equity
2020-09-18,126.33,9.971,10.57,2.6914,2.6914,3.4597,122.89,155.57,11.3738,17.03,1133.37,1.245,10.4548,14.72,18.9635,117.84,108.1,11.04,10.39
2020-09-25,126.33,10.042,10.05,2.6886,2.6886,3.4571,122.89,155.57,10.7488,16.59,1133.37,1.238,10.4548,14.09,18.831,117.84,108.1,11.06,10.179
2020-10-07,121.57,9.605,10.09,2.6567,2.6567,3.3992,118.62,153.08,10.585,16.21,1104.38,1.24,9.8078,13.9,18.0356,111.3,107.91,10.83,10.266
2020-10-16,126.3,10.645,10.31,2.7062,2.7062,3.4687,122.16,156.04,11.1463,17.22,1119.46,1.249,10.293,14.38,19.2005,118.91,108.22,11.1,10.428
2020-10-23,126.3,10.937,10.3,2.713,2.713,3.4856,122.16,156.04,11.2489,17.33,1119.46,1.252,10.293,14.45,18.9379,118.91,108.22,11.11,10.357
2020-10-30,125.56,10.482,9.85,2.7119,2.7119,3.4831,121.65,156.51,10.4577,16.6,1109.5,1.249,10.4276,14.04,18.7346,115.65,108.34,11.1,10.043
2020-11-09,126.33,9.795,10.45,2.6883,2.6883,3.451,123.29,155.57,11.2401,16.89,1133.37,1.246,10.4548,14.57,18.7854,118.09,108.1,11.01,10.428
2020-11-13,125.56,10.975,10.72,2.7331,2.7331,3.5095,121.65,156.51,12.1609,18.02,1109.5,1.265,10.4276,15.15,19.16,123.52,108.34,11.11,10.759
2020-11-20,125.56,11.248,10.93,2.7379,2.7379,3.5155,123.44,156.51,12.6184,18.24,1109.5,1.266,10.4276,15.58,19.247,123.52,108.34,11.12,10.84
2020-11-27,125.56,11.42,11.32,2.7399,2.7399,3.5187,123.44,156.51,13.1002,18.85,1109.5,1.27,10.4276,15.88,19.3382,123.52,108.34,11.13,10.947
2020-12-06,118.38,9.579,9.85,2.6161,2.6161,3.3614,117.02,151.06,10.5082,16.33,1097.59,1.238,9.7482,13.66,17.626,108.43,107.73,10.76,10.142
2020-12-18,128.34,11.991,11.75,2.7506,2.7506,3.5258,125.22,157.1,13.7858,19.02,1158.1,1.288,11.4132,16.51,19.4638,127.6,108.56,11.15,11.105
2020-12-25,128.34,11.994,11.63,2.7583,2.7583,3.5305,125.22,157.1,13.6887,19.07,1158.1,1.29,11.4132,16.43,19.5376,127.6,108.56,11.15,11.009
2021-01-01,132.06,12.397,11.66,2.7647,2.7647,3.5317,126.85,161.48,13.7591,19.17,1177.3,1.29,12.3466,16.58,19.4924,129.8,108.95,11.19,11.07
2021-01-10,136.35,15.026,13.78,2.9013,2.9013,3.7174,131.96,177.9,16.0842,22.65,1196.3,1.339,14.5638,17.67,22.1107,139.78,110.09,11.52,11.759
2021-01-15,132.06,13.392,12.23,2.8073,2.8073,3.5853,127.49,161.48,14.3625,19.94,1177.3,1.288,12.3466,17.35,19.8375,133.94,108.95,11.22,11.385
2021-01-22,132.06,13.177,12.18,2.8157,2.8157,3.5974,127.49,161.48,14.3161,19.85,1177.3,1.288,12.3466,17.46,19.8006,133.94,108.95,11.22,11.392
2021-01-29,130.75,12.058,11.86,2.8071,2.8071,3.6026,125.31,160.61,13.8394,19.41,1176.1,1.291,12.6554,16.7,19.7967,131.19,108.98,11.23,11.073
2021-02-04,129.06,13.407,12.86,2.8223,2.8223,3.6139,128.1,162.61,15.3686,21.79,1202.24,1.299,13.0454,17.62,20.66,137.1,109.38,11.28,11.546
2021-02-07,133.6,15.578,13.75,2.8641,2.8641,3.6687,132.49,173.59,16.0822,22.45,1213.25,1.32,14.1723,18.03,21.5631,142.53,109.69,11.39,11.943
2021-02-19,130.75,13.257,12.67,2.828,2.828,3.6177,127.61,160.61,14.9474,20.8,1176.1,1.291,12.6554,17.27,20.1821,136.89,108.98,11.26,11.376
2021-02-26,130.62,13.169,12.64,2.8207,2.8207,3.611,126.93,162.56,14.6939,20.77,1193.09,1.291,13.1669,17.19,20.1762,133.5,109.09,11.13,11.144
2021-03-09,136,14.924,13.77,2.8923,2.8923,3.6971,133.06,176.35,16.2664,22.84,1210.82,1.336,14.7997,17.89,22.1018,143.77,109.85,11.46,12.003
2021-03-12,139.92,15.481,13.66,2.9304,2.9304,3.7492,133.01,182.44,15.5301,22.57,1188.23,1.342,14.9769,17.31,21.963,139.67,109.82,11.61,11.895
2021-03-19,130.62,13.286,12.85,2.8284,2.8284,3.6221,128.63,162.56,15.6988,21.75,1193.09,1.298,13.1669,17.71,20.3153,137.28,109.09,11.21,11.52
2021-03-26,130.62,12.878,12.82,2.8221,2.8221,3.6162,128.63,162.56,15.4548,21.89,1193.09,1.299,13.1669,17.41,20.3342,137.28,109.09,11.27,11.503
2021-04-06,133.83,14.97,14.03,2.8505,2.8505,3.653,130.45,166.77,16.8714,23.13,1220.42,1.318,14.1804,18.62,21.3332,143.44,109.58,11.37,11.897
2021-04-16,129.06,13.585,13.19,2.8332,2.8332,3.6211,129,162.61,15.9109,22.17,1202.24,1.309,13.0454,17.83,20.8977,139.64,109.38,11.28,11.83
2021-04-23,129.06,13.714,13.17,2.8393,2.8393,3.6315,129,162.61,15.7849,22.16,1202.24,1.312,13.0454,17.81,20.9461,139.64,109.38,11.3,11.763
2021-04-30,132.12,13.483,13.26,2.8382,2.8382,3.637,129.26,164.25,15.8336,22.27,1214.23,1.314,13.5925,17.87,21.2576,139.53,109.43,11.31,11.762
2021-05-11,138.23,15.755,14.37,2.9239,2.9239,3.7498,133.14,180.61,16.4983,23.81,1208.62,1.349,14.988,17.95,22.5001,142.26,110.11,11.57,12.13
2021-05-14,132.12,13.715,13.77,2.8448,2.8448,3.6426,129.26,164.25,16.6139,22.9,1214.23,1.315,13.5925,17.99,21.0218,141.13,109.43,11.35,11.72
2021-05-21,132.12,14.09,13.6,2.8433,2.8433,3.6472,129.26,164.25,16.6551,22.8,1214.23,1.317,13.5925,18.37,21.0219,141.13,109.43,11.35,11.728
2021-05-28,132.12,14.42,13.74,2.8516,2.8516,3.6506,129.26,164.25,16.703,22.89,1214.23,1.32,13.5925,18.38,21.2639,141.13,109.43,11.37,11.809
2021-06-08,135.02,14.966,13.62,2.8765,2.8765,3.6832,131.98,173.94,15.8095,22.6,1208,1.325,14.649,17.69,21.9659,142.31,109.75,11.42,11.902
2021-06-18,133.83,15.114,13.35,2.8601,2.8601,3.6557,132.22,166.77,16.0237,22.05,1220.42,1.323,14.1804,18.26,21.3467,143.9,109.58,11.38,11.811
2021-06-25,133.83,15.219,13.72,2.8663,2.8663,3.6678,132.22,166.77,16.3822,22.7,1220.42,1.32,14.1804,18.14,21.4177,143.9,109.58,11.4,11.917
2021-07-05,132.12,13.495,13.93,2.8448,2.8448,3.643,129.26,164.25,16.566,23,1214.23,1.317,13.5925,18.16,21.0218,139.53,109.43,11.34,11.916
